date,close
9/1/1958,4
10/1/1958,3
11/1/1958,2
1/1/1959,1
4/1/1959,3
5/1/1959,4
6/1/1959,16
7/1/1959,9
8/1/1959,7
9/1/1959,3
10/1/1959,3
11/1/1959,2
12/1/1959,2
1/1/1960,1
2/1/1960,3
3/1/1960,1
4/1/1960,1
5/1/1960,2
6/1/1960,25
7/1/1960,12
8/1/1960,11
9/1/1960,6
10/1/1960,1
11/1/1960,3
1/1/1961,2
2/1/1961,2
4/1/1961,2
5/1/1961,2
6/1/1961,12
7/1/1961,7
8/1/1961,9
9/1/1961,2
10/1/1961,6
11/1/1961,2
12/1/1961,2
1/1/1962,1
2/1/1962,1
3/1/1962,6
4/1/1962,1
5/1/1962,4
6/1/1962,19
7/1/1962,13
8/1/1962,12
9/1/1962,8
10/1/1962,2
11/1/1962,5
12/1/1962,1
1/1/1963,2
2/1/1963,2
3/1/1963,3
4/1/1963,5
5/1/1963,5
6/1/1963,32
7/1/1963,20
8/1/1963,9
9/1/1963,1
10/1/1963,4
11/1/1963,2
12/1/1963,1
1/1/1964,2
3/1/1964,4
4/1/1964,4
5/1/1964,8
6/1/1964,22
7/1/1964,15
8/1/1964,15
9/1/1964,10
10/1/1964,4
11/1/1964,4
1/1/1965,3
2/1/1965,3
3/1/1965,2
4/1/1965,6
5/1/1965,9
6/1/1965,47
7/1/1965,36
8/1/1965,32
9/1/1965,9
10/1/1965,16
11/1/1965,9
12/1/1965,16
1/1/1966,4
2/1/1966,3
3/1/1966,12
4/1/1966,10
5/1/1966,11
6/1/1966,64
7/1/1966,25
8/1/1966,18
9/1/1966,19
10/1/1966,16
11/1/1966,7
12/1/1966,4
1/1/1967,4
2/1/1967,5
3/1/1967,7
4/1/1967,14
5/1/1967,10
6/1/1967,52
7/1/1967,15
8/1/1967,31
9/1/1967,21
10/1/1967,19
11/1/1967,7
12/1/1967,3
1/1/1968,15
2/1/1968,1
3/1/1968,2
4/1/1968,11
5/1/1968,13
6/1/1968,69
7/1/1968,40
8/1/1968,25
9/1/1968,13
10/1/1968,19
11/1/1968,5
12/1/1968,7
1/1/1969,4
2/1/1969,2
3/1/1969,5
4/1/1969,2
5/1/1969,6
6/1/1969,41
7/1/1969,34
8/1/1969,25
9/1/1969,6
10/1/1969,15
11/1/1969,8
12/1/1969,7
1/1/1970,8
2/1/1970,5
3/1/1970,5
4/1/1970,3
5/1/1970,12
6/1/1970,41
7/1/1970,19
8/1/1970,16
9/1/1970,12
10/1/1970,15
11/1/1970,5
12/1/1970,6
1/1/1971,6
2/1/1971,8
3/1/1971,1
4/1/1971,9
5/1/1971,8
6/1/1971,29
7/1/1971,23
8/1/1971,12
9/1/1971,16
10/1/1971,11
11/1/1971,6
12/1/1971,1
1/1/1972,5
2/1/1972,2
3/1/1972,9
4/1/1972,2
5/1/1972,8
6/1/1972,50
7/1/1972,25
8/1/1972,20
9/1/1972,14
10/1/1972,11
11/1/1972,7
12/1/1972,5
1/1/1973,5
2/1/1973,6
3/1/1973,9
4/1/1973,9
5/1/1973,11
6/1/1973,47
7/1/1973,38
8/1/1973,26
9/1/1973,22
10/1/1973,37
11/1/1973,11
12/1/1973,5
1/1/1974,11
2/1/1974,4
3/1/1974,5
4/1/1974,12
5/1/1974,15
6/1/1974,71
7/1/1974,44
8/1/1974,37
9/1/1974,21
10/1/1974,25
11/1/1974,22
12/1/1974,6
1/1/1975,13
2/1/1975,5
3/1/1975,9
4/1/1975,15
5/1/1975,11
6/1/1975,94
7/1/1975,52
8/1/1975,40
9/1/1975,18
10/1/1975,28
11/1/1975,20
12/1/1975,14
1/1/1976,9
2/1/1976,7
3/1/1976,4
4/1/1976,8
5/1/1976,14
6/1/1976,89
7/1/1976,54
8/1/1976,28
9/1/1976,26
10/1/1976,18
11/1/1976,15
12/1/1976,7
1/1/1977,11
2/1/1977,5
3/1/1977,13
4/1/1977,11
5/1/1977,25
6/1/1977,64
7/1/1977,57
8/1/1977,29
9/1/1977,18
10/1/1977,13
11/1/1977,13
12/1/1977,9
1/1/1978,16
2/1/1978,10
3/1/1978,12
4/1/1978,13
5/1/1978,12
6/1/1978,72
7/1/1978,73
8/1/1978,52
9/1/1978,21
10/1/1978,24
11/1/1978,16
12/1/1978,14
1/1/1979,8
2/1/1979,8
3/1/1979,12
4/1/1979,15
5/1/1979,15
6/1/1979,55
7/1/1979,37
8/1/1979,29
9/1/1979,24
10/1/1979,15
11/1/1979,18
12/1/1979,9
1/1/1980,13
2/1/1980,6
3/1/1980,12
4/1/1980,7
5/1/1980,20
6/1/1980,62
7/1/1980,37
8/1/1980,26
9/1/1980,22
10/1/1980,24
11/1/1980,5
12/1/1980,12
1/1/1981,10
2/1/1981,4
3/1/1981,5
4/1/1981,9
5/1/1981,10
6/1/1981,45
7/1/1981,17
8/1/1981,23
9/1/1981,17
10/1/1981,11
11/1/1981,10
12/1/1981,3
1/1/1982,5
2/1/1982,4
4/1/1982,3
5/1/1982,12
6/1/1982,56
7/1/1982,30
8/1/1982,22
9/1/1982,18
10/1/1982,17
11/1/1982,8
12/1/1982,8
1/1/1983,3
2/1/1983,4
3/1/1983,6
4/1/1983,16
5/1/1983,14
6/1/1983,36
7/1/1983,23
8/1/1983,17
9/1/1983,13
10/1/1983,10
11/1/1983,7
12/1/1983,4
1/1/1984,7
2/1/1984,5
3/1/1984,9
4/1/1984,6
5/1/1984,11
6/1/1984,46
7/1/1984,25
8/1/1984,24
9/1/1984,16
10/1/1984,19
11/1/1984,12
12/1/1984,6
1/1/1985,9
2/1/1985,4
3/1/1985,6
4/1/1985,10
5/1/1985,16
6/1/1985,64
7/1/1985,33
8/1/1985,23
9/1/1985,17
10/1/1985,19
11/1/1985,10
12/1/1985,7
1/1/1986,6
2/1/1986,6
3/1/1986,9
4/1/1986,13
5/1/1986,11
6/1/1986,44
7/1/1986,23
8/1/1986,25
9/1/1986,17
10/1/1986,23
11/1/1986,9
12/1/1986,7
1/1/1987,10
2/1/1987,3
3/1/1987,9
4/1/1987,16
5/1/1987,17
6/1/1987,37
7/1/1987,39
8/1/1987,29
9/1/1987,12
10/1/1987,26
11/1/1987,15
12/1/1987,10
1/1/1988,11
2/1/1988,5
3/1/1988,11
4/1/1988,8
5/1/1988,11
6/1/1988,46
7/1/1988,32
8/1/1988,46
9/1/1988,17
10/1/1988,33
11/1/1988,15
12/1/1988,6
1/1/1989,11
2/1/1989,8
3/1/1989,8
4/1/1989,8
5/1/1989,20
6/1/1989,50
7/1/1989,32
8/1/1989,21
9/1/1989,17
10/1/1989,34
11/1/1989,23
12/1/1989,19
1/1/1990,14
2/1/1990,18
3/1/1990,7
4/1/1990,7
5/1/1990,16
6/1/1990,46
7/1/1990,47
8/1/1990,30
9/1/1990,18
10/1/1990,26
11/1/1990,19
12/1/1990,11
1/1/1991,8
2/1/1991,7
3/1/1991,13
4/1/1991,14
5/1/1991,21
6/1/1991,43
7/1/1991,32
8/1/1991,31
9/1/1991,27
10/1/1991,14
11/1/1991,13
12/1/1991,11
1/1/1992,4
2/1/1992,10
3/1/1992,7
4/1/1992,21
5/1/1992,19
6/1/1992,56
7/1/1992,31
8/1/1992,29
9/1/1992,16
10/1/1992,34
11/1/1992,11
12/1/1992,14
1/1/1993,12
2/1/1993,14
3/1/1993,18
4/1/1993,13
5/1/1993,25
6/1/1993,80
7/1/1993,41
8/1/1993,35
9/1/1993,21
10/1/1993,19
11/1/1993,17
12/1/1993,14
1/1/1994,15
2/1/1994,11
3/1/1994,21
4/1/1994,23
5/1/1994,29
6/1/1994,70
7/1/1994,49
8/1/1994,56
9/1/1994,32
10/1/1994,55
11/1/1994,24
12/1/1994,36
1/1/1995,71
2/1/1995,56
3/1/1995,86
4/1/1995,63
5/1/1995,75
6/1/1995,143
7/1/1995,114
8/1/1995,146
9/1/1995,94
10/1/1995,86
11/1/1995,97
12/1/1995,47
1/1/1996,44
2/1/1996,59
3/1/1996,58
4/1/1996,85
5/1/1996,69
6/1/1996,122
7/1/1996,73
8/1/1996,75
9/1/1996,61
10/1/1996,48
11/1/1996,70
12/1/1996,70
1/1/1997,48
2/1/1997,47
3/1/1997,167
4/1/1997,87
5/1/1997,97
6/1/1997,164
7/1/1997,199
8/1/1997,114
9/1/1997,52
10/1/1997,100
11/1/1997,113
12/1/1997,67
1/1/1998,74
2/1/1998,78
3/1/1998,131
4/1/1998,115
5/1/1998,94
6/1/1998,181
7/1/1998,158
8/1/1998,156
9/1/1998,213
10/1/1998,203
11/1/1998,194
12/1/1998,170
1/1/1999,133
2/1/1999,159
3/1/1999,144
4/1/1999,144
5/1/1999,162
6/1/1999,254
7/1/1999,268
8/1/1999,289
9/1/1999,362
10/1/1999,290
11/1/1999,401
12/1/1999,199
1/1/2000,208
2/1/2000,181
3/1/2000,211
4/1/2000,180
5/1/2000,165
6/1/2000,243
7/1/2000,330
8/1/2000,263
9/1/2000,277
10/1/2000,294
11/1/2000,216
12/1/2000,204
1/1/2001,240
2/1/2001,208
3/1/2001,262
4/1/2001,210
5/1/2001,223
6/1/2001,277
7/1/2001,362
8/1/2001,363
9/1/2001,315
10/1/2001,228
11/1/2001,246
12/1/2001,188
1/1/2002,212
2/1/2002,231
3/1/2002,179
4/1/2002,172
5/1/2002,223
6/1/2002,309
7/1/2002,374
8/1/2002,438
9/1/2002,332
10/1/2002,284
11/1/2002,265
12/1/2002,216
1/1/2003,287
2/1/2003,230
3/1/2003,169
4/1/2003,204
5/1/2003,220
6/1/2003,271
7/1/2003,410
8/1/2003,499
9/1/2003,467
10/1/2003,424
11/1/2003,437
12/1/2003,344
1/1/2004,266
2/1/2004,265
3/1/2004,372
4/1/2004,355
5/1/2004,353
6/1/2004,376
7/1/2004,401
8/1/2004,498
9/1/2004,379
10/1/2004,417
11/1/2004,294
12/1/2004,281
1/1/2005,228
2/1/2005,255
3/1/2005,327
4/1/2005,294
5/1/2005,271
6/1/2005,370
7/1/2005,419
8/1/2005,321
9/1/2005,480
10/1/2005,444
11/1/2005,420
12/1/2005,254
1/1/2006,222
2/1/2006,210
3/1/2006,277
4/1/2006,292
5/1/2006,266
6/1/2006,300
7/1/2006,377
8/1/2006,388
9/1/2006,291
10/1/2006,367
11/1/2006,378
12/1/2006,353
1/1/2007,398
2/1/2007,243
3/1/2007,331
4/1/2007,290
